Phrase,Meaning,Is This Accurate?
Adarsha,Stud,(1%) (2%)
Bandar Ko Chaak,Monkeys Ass,(1%) (0%)
beshya,bitch,(1%) (0%)
Bhalu,whore,(1%) (0%)
bhalu ko poi,husband of a whore,(10%) (1%)
Bhalu lai chik muji,fuck that whore motherfucker,(9%) (9%)
chaak ko pwal,ass hole,(10%) (5%)
chahk,ass,(10%) (4%)
chahk ko dulka,asshole,(1%) (4%)
chak cha,eat ass,(1%) (3%)
Chaman,Gay ass fucker,(10%) (0%)
Chick-day,Fuck-it,(1%) (1%)
Chickne,fuck,(1%) (0%)
condo,A mans asshole,(10%) (2%)
condo hannay,Man and Man ass fuck,(10%) (2%)
Dhoti,Dog shit,(1%) (1%)
dudh,breast,(9%) (6%)
fushi kha,Eat Cum,(10%) (1%)
Gadha,Donkey,(10%) (0%)
gand faat cha,ass blasts,(1%) (1%)
Geda,Balls / testicles,(0%) (0%)
Gidi Haps,"Frustrated, Irritated",(10%) (0%)
goo kha,eat shit,(10%) (5%)
Goo kha,Eat Shit,(10%) (1%)
goo khai-ra morr,eat shit and die,(10%) (4%)
Gula chus randi,"Suck my balls, bitch",(1%) (0%)
gula kha,eat my dick,(1%) (2%)
Jantha,pubic hair,(1%) (0%)
Kando,Ass,(10%) (0%)
Kangres,Old man balls,(10%) (0%)
Kukkur,Dog,(9%) (9%)
kukur chikni,Dog fucker,(1%) (1%)
laando kha,eat my dick,(10%) (2%)
lado,dick,(10%) (1%)
Lado,dick,(10%) (1%)
Lado chus,suck dick,(10%) (1%)
lado cocha,blowjob,(10%) (0%)
Lado kha,Eat my dick,(1%) (0%)
Lado ko tuppo,Dick edge,(9%) (5%)
lamto,nipple,(1%) (3%)
Lang Lang,"Dilemma, unsure, mind changing",(0%) (100%)
ma shaala,asshole,(1%) (1%)
maa chikney!,Motherfucker,(10%) (1%)
Maa chikni,Mother fucker,(10%) (1%)
Maa Rondi!,Mother's a whore,(1%) (2%)
Machikne,Mother Fucker,(10%) (0%)
Madhesi,Sister fucker,(1%) (15%)
mandale,born from a gay's ass,(8%) (19%)
maobadi,born from a whore's ass,(1%) (1%)
mero fushi kha,Eat My Cum,(10%) (0%)
moot,piss,(10%) (1%)
mootday,piss-it,(10%) (0%)
moreko,of dead,(10%) (3%)
moreko manchi,(of) dead people,(10%) (4%)
Morr Sali Morr!,Die Bitch Die!,(1%) (1%)
morryo,died/dead,(10%) (5%)
Mugi,Pubes(hair around vagina),(10%) (5%)
Muji,Pubic hair,(10%) (5%)
murda,dead fuck,(9%) (10%)
muzy,pussy,(10%) (0%)
pahadi,family fucker,(7%) (31%)
pinko,pussy,(9%) (9%)
Prachanda,Pussy's juice,(9%) (6%)
Puti Chat Chu,suck pussy,(1%) (1%)
puti kha,eat pussy,(10%) (0%)
puti ko jhol,pussys liquid,(10%) (1%)
Putin Chaat,Lick Pussy,(1%) (1%)
radi ko puti,whore's pussy,(10%) (4%)
Randi ko baan,son of the prostitute,(10%) (3%)
Randi ko Ban,Son of a bitch,(0%) (0%)
randi ko choro,son of bitch,(1%) (0%)
randiko choro,son of a bitch,(10%) (1%)
sungghur,pig,(10%) (0%)
turi tauke,dickhead,(1%) (0%)
Tutturay,Penis,(8%) (23%)
