,Phrase,Meaning,Is This Accurate?,aand,chutiye,idiot,(10%) (0%)
0,"""KUTH-TII"" (or) ""KUTTII""",Bitch,(0%) (0%),,,,
1,AAGA (or) GUUUUUUU,Shit,(1%) (0%),,,,
2,amar nunu chat,Suck my dick!,(1%) (1%),,,,
3,Ami Tumarae Khortham,I Wanna Do U,(0%) (0%),,,,
4,Ashiq,Penis Hair,(7%) (26%),,,,
5,baal bichi,hair on your balls,(8%) (18%),,,,
6,Baal Halaidheese,Eat your pubic hair,(0%) (100%),,,,
7,Baba choda rendi,Prostitute who fucks her father,(1%) (1%),,,,
8,bai lerh,roten spunk,(9%) (7%),,,,
9,banchod,sister fucker,(1%) (1%),,,,
10,Bandii,Bad Bitch,(0%) (0%),,,,
11,bara,penis,(9%) (9%),,,,
12,bara / bada,dick / cock,(10%) (4%),,,,
13,Bessha,Whore,(0%) (0%),,,,
14,bhuski maagi,whore with a used & loose pussy,(9%) (6%),,,,
15,Bichi Chara Potla,Ball less bag!!,(1%) (0%),,,,
16,Bodmash,pervert,(1%) (1%),,,,
17,Boga,Dick,(1%) (0%),,,,
18,boga baicha tor mar boonie sirilymu,dick boy i will rip your mums boobs,(10%) (3%),,,,
19,Boga Khaa,Suck My Dick,(1%) (0%),,,,
20,boka choda,stupid fucker,(10%) (1%),,,,
21,bokachoda,dickhead,(1%) (1%),,,,
22,Booni,Tits/Breast,(1%) (0%),,,,
23,botla,fatty,(10%) (2%),,,,
24,chodna,fucker,(9%) (12%),,,,
25,Chodon Boiraagi,Boiraagi Fucker,(1%) (0%),,,,
26,Chodon Idli,Tamil Fucker,(1%) (0%),,,,
27,chood,fuck/fucker,(1%) (0%),,,,
28,chudir bhai,brother of a whore,(10%) (2%),,,,
29,Chudir Bhai,Brother of slut,(0%) (0%),,,,
30,Chudir Pola,Son of a whore,(1%) (0%),,,,
31,dan-da,dik,(1%) (2%),,,,
32,dhon,dick,(1%) (1%),,,,
33,dofla hetta,fat pussy,(7%) (33%),,,,
34,fatly,fat girl,(1%) (1%),,,,
35,Fel,Dick,(1%) (1%),,,,
36,foga,idiot,(0%) (0%),,,,
37,"foon, foondh",arse in Moulovibazar everywhere else means Pussy,(10%) (0%),,,,
38,fungi,sex in smelly pussy,(8%) (17%),,,,
39,Futki,Arse,(1%) (0%),,,,
40,fuun-ga,cunt,(10%) (4%),,,,
41,gorur bachcha,child of a cow,(10%) (4%),,,,
42,gud,pussy,(9%) (7%),,,,
43,gud maranir beta,son of fucker,(0%) (0%),,,,
44,gud/guud,pussy,(1%) (0%),,,,
45,Guundaa,Gangsta,(1%) (0%),,,,
46,Haram jada,Bastard,(1%) (0%),,,,
47,haram jadi,female bastard,(10%) (1%),,,,
48,Hauwa,Arsehole,(1%) (1%),,,,
49,hetta muka ath bori dimo,i will fist you (pussy),(10%) (0%),,,,
50,"hetta, bodha, shauwaa",pussy,(10%) (1%),,,,
51,"Kalu, Calou, Kalou,Blackie, Keltu, Kelo, Kolo Toure, Djimi Traore, Kalo Hulo, Nigga",Kalu,(1%) (0%),,,,
52,khanki,whore,(1%) (1%),,,,
53,khanki chudi magir gude poka,insect on the pussy of whore,(0%) (0%),,,,
54,khanki/maggi,whore,(1%) (0%),,,,
55,khankir chele,son of prostitute,(10%) (0%),,,,
56,Khankir Pola,Son of a whore,(10%) (1%),,,,
57,khobis or goror khobis,fuck your mum and dad,(1%) (5%),,,,
58,Kuth-tar Bachcha,Son of a bitch,(1%) (0%),,,,
59,Kuthar Bacha,Son of a Dog,(0%) (0%),,,,
60,Kuththar Baiccha (Baich-cha),Son Of A Bitch/Dog,(1%) (0%),,,,
61,Kuttar Bhaccha,Son of a bitch!,(10%) (5%),,,,
62,kuttar chod,dog fucker,(10%) (4%),,,,
63,Kuttar gu,Dog shit,(0%) (0%),,,,
64,laora,penis,(1%) (0%),,,,
65,lerr,cum,(0%) (0%),,,,
66,lerr kawrar fua,cum eater's son,(8%) (17%),,,,
67,Maagi,Whore/Slut,(1%) (1%),,,,
68,Maal,Hot girl,(1%) (0%),,,,
69,maggir putt,prostitutes child,(10%) (4%),,,,
70,Moga choder bacha,Mother fucker,(0%) (0%),,,,
71,mother chod,mother fucker,(1%) (1%),,,,
