Phrase,Meaning,Is This Accurate?
bakvas,bullshit,(10%) (1%)
bhen chod,fuck your sister,(10%) (4%)
Choohi,Penis,(1%) (2%)
Fudu,Dick,(1%) (7%)
Haram Jaada,Annoying Fuck,(1%) (5%)
kalan,mad,(10%) (0%)
kudi chod,daughter fucker,(10%) (0%)
Kuri yani,Fuck your daughter,(10%) (0%)
kuri yawa,daughter fucker,(10%) (2%)
Kuthe Di Poosh,Dogs Tail,(10%) (3%)
Kuthe Kambakhte,Fucking Dog,(1%) (1%)
Laaaaauvre,Dick,(0%) (0%)
Lan di Jhoon,Dick Hair,(1%) (1%)
lun tay charja,ride someones dick,(10%) (0%)
Lun te Waj,Jump on my dick,(10%) (4%)
Momay,Tits,(10%) (2%)
Pan chod,Sister fucker,(10%) (0%)
peyu di gand vich ungal,finger in father ass,(0%) (0%)
Phuddy,Pussy,(10%) (1%)
soor da lora,pigs son,(0%) (0%)
teri maa di fudi,your mother's pussy,(10%) (0%)
Teri paan di chiter,Your sisters ass,(10%) (3%)
Teri pan di lun,Your sister's dick,(10%) (2%)
tutoo,useless,(0%) (100%)
Tutti,Shit,(10%) (1%)
