Phrase,Meaning,Is This Accurate?
Baah Khuwa,"Unsuccessful, a loser",(1%) (0%)
Baal,Pubes,(1%) (1%)
baal kela,pubic hair and dick,(1%) (1%)
baal khuruwa,"person, whose pubic hair is shaven",(1%) (1%)
baaperor konitu,your father's dick,(1%) (1%)
baaperor pukorkhon,your father's asshole,(10%) (1%)
Bal,Abusing some one,(10%) (1%)
Bandor Chod,Monkey Fucker,(10%) (4%)
Bari,Dick,(1%) (1%)
Bengena Mora,Female masturbating with brinjal,(1%) (1%)
billa suda,prostitute fucker,(10%) (2%)
bimakho khoigra,fucker of mom,(1%) (2%)
boinaak sudaai,sister fucker,(10%) (0%)
boiner lalak,husband of sister,(9%) (8%)
boithali,prostitute,(9%) (14%)
buch seleka,licker of cunt,(10%) (4%)
Bush,Pussy,(1%) (0%)
Bush mara,Fucking of Pussy,(10%) (1%)
Bushot tel diya,Lubricating the vagina with oil,(10%) (0%)
Chet,Dick,(10%) (2%)
ekka she duuka,you peice of shit,(9%) (6%)
fifa ni lodoi,penis of father,(1%) (2%)
Fuck Dang Fo!,What the fuck!,(9%) (7%)
gar mora,Fucking asshole,(10%) (4%)
Gida,Cunt,(1%) (0%)
Gida Khua,Cunt Eater / Pussy Eater,(10%) (3%)
Gu,Shit,(10%) (1%)
Gu Khuwa,Shit Eater,(10%) (0%)
guu kha,eat shit,(0%) (0%)
guu kha mokkel,eat shit dumbass/dickhead/shithead,(10%) (5%)
Jairir badcha,Son of a horny cow,(10%) (3%)
Jhaant singa,Pubic Hair plucker,(10%) (5%)
johoni jua,curse you to die with loose motion,(10%) (0%)
Johora,Basterd,(10%) (1%)
Jonghol,Pubes,(9%) (9%)
Kela,dick,(10%) (1%)
Keti,Pussy,(9%) (6%)
Koti Mara,Ass Fucking,(10%) (4%)
Kotit bari homai dim,I will push my dick into your ass,(10%) (4%)
Kukur'or puwali,Son of a dog,(10%) (2%)
laura,penis,(1%) (1%)
Lauri ke bal,Dick hair,(0%) (0%)
Lothou Guti,Hanging Balls / Testicles,(9%) (11%)
Ludoi,Dick,(10%) (1%)
"Maaeror Boos, maksudai","Your mother's cunt, motherfucker",(10%) (4%)
Maaeror fof khon,your mother's pussy.,(10%) (3%)
maak sudai,mother fucker,(10%) (2%)
Maaror bhumikhon kela,Mothers pussy,(10%) (5%)
maka dingding,mother's boobs,(1%) (2%)
maka linglang,mother's clitoris,(9%) (12%)
Maksaai,Mother Fucker,(10%) (4%)
mangmarani,pussy fucker,(10%) (5%)
Meeyarek Kohai,Mother Sucker,(10%) (5%)
Mumu,Dick,(9%) (13%)
Nagori putek,son of a bustard,(10%) (2%)
Naliya,Despicable,(10%) (2%)
Pel suha,Seman eater,(10%) (0%)
Pheda cheleka,Cunt licker,(9%) (12%)
Pokorot Kothal Bhoram,I'll shove a jackfruit up your ass,(10%) (1%)
pukor selek,suck my asshole,(9%) (9%)
raandii,prostitude,(10%) (0%)
Randir soli,Son of a prostitute,(10%) (0%)
Rendi Dallal,Pimp,(10%) (5%)
Rendir Beta,Son of a whore,(9%) (6%)
Rendy Suda,Whore Fucker,(10%) (0%)
Set Suda,Dick fucker,(10%) (0%)
setor baal,penis hair / pubic hair,(10%) (2%)
sipha jagra,eater of cunt,(9%) (12%)
Sudasudi,Fucking,(10%) (0%)
Sudi Gida Falidim,Will fuck and tear your pussy,(10%) (4%)
Sudur Bhai,Sister Fucker,(1%) (1%)
sut marani,fucker,(10%) (1%)
syetor moila,dirt of a penis,(10%) (2%)
Tez piya,Bloodsucking bat,(10%) (0%)
Tumak sudibor mon goise,I want to fuck u,(9%) (9%)
tur maak sudu,i fuck your mama,(10%) (4%)
Tur Maak Sudu,Fuck Your Mama,(10%) (4%)
Tur maraok rastat kukur logi sudam..,I will take dog to fuck your mom,(1%) (0%)
