Phrase,Meaning,Is This Accurate?
abu gidir,Big boobs,(9%) (6%)
Bazari,Prostitute,(10%) (0%)
Bima khoigra,Mother fucker,(10%) (2%)
Bima khoygra,Mother fucker,(10%) (0%)
Bimani fishai,Mother's husband,(10%) (0%)
Bwitali,Amorous,(0%) (0%)
Cfa swlangra,Pussy sucker,(10%) (0%)
Hinjao maogra (khoigra),Woman fucker,(0%) (0%)
khilama,asshole,(0%) (0%)
Khoynai,Fucking,(10%) (0%)
Lwdwi,Penis,(10%) (0%)
Nwma shifa,Your mother's vegina,(10%) (1%)
Nwmani abu,your mother's boob,(10%) (0%)
Sifa gudung,Vagina,(9%) (9%)
Sifa jagra,Pussy eater,(10%) (0%)
sifa jagra,pussy eater,(0%) (0%)
Sifa swlagra,Vulva sucker,(0%) (0%)
Sikwmwn,Pube,(9%) (14%)
