Phrase,Meaning,Is This Accurate?
behnchod,sister fucker,(10%) (1%)
Bhadwa,Girls Dealer,(1%) (0%)
Bhonsda,Fucked and teared apart Pussy,(1%) (1%)
Bobe,Boobs,(1%) (1%)
Bun marra,fuck off,(1%) (1%)
Burr,Pussy,(1%) (1%)
Chatana bandhar gadha,Lick monkey ass,(9%) (6%)
Chod Dunga,Fuck You,(1%) (1%)
Chodna,To Fuck,(1%) (0%)
Choot,Vagina,(1%) (0%)
Chordo,Fuck,(1%) (1%)
Chuche,Nipples,(10%) (5%)
chutiye,idiot,(10%) (0%)
gel saffa,crazy cock suker,(10%) (2%)
ghanta,male sex organs,(10%) (5%)
Gundmare,Fucked,(10%) (2%)
kameenay,bastard,(0%) (100%)
Kutiya,Bitch,(10%) (2%)
Lannd,Dick,(10%) (3%)
Loda,Penis,(10%) (3%)
ma ki aankh,mother's eye,(8%) (20%)
Maa Chuda,Fuck ur Mom,(1%) (2%)
Madarchod,Mother Fucker,(10%) (2%)
Mumme,Nipples,(1%) (1%)
Muttha Marna,Masturbate,(10%) (4%)
Na chundi nee umbu,Come and suck my dick,(10%) (1%)
paagal,mad,(10%) (0%)
Rand / Randi,Prostitute,(10%) (2%)
sandha pela,the big fucker,(1%) (1%)
teri behen ki choot,your sister's ass,(9%) (10%)
teri bund ch mera kela,my dick in your ass,(1%) (0%)
Teri maa chod dunga,I'll fuck your mother,(10%) (0%)
Teri maa ke handle mein pandle marun.,Ride your mother with my dick.,(1%) (1%)
teri pandit ke chut,your priest's vagina,(10%) (3%)
ullu de pathe,son of owl,(10%) (2%)
