Phrase,Meaning,Is This Accurate?
Aavoi Zovno,Mother Fucker,(1%) (0%)
Avoichi/Maichi Fudh,Mothers Pussy,(10%) (2%)
baakri,pussy,(1%) (3%)
babak zovnya,father fucker,(9%) (9%)
Babay Aand,You Father Dick,(10%) (5%)
bainik zovnya,sister fucker,(10%) (0%)
bewarshi,bastard,(9%) (11%)
Bhikarchot,penis of a beggar,(1%) (1%)
Bhokan bot,Finger in ass,(1%) (0%)
Bokan bot,Finger in your ass,(0%) (0%)
Chedi,Prostitute,(1%) (0%)
Chedye kastachya,Of a prostitutes caste,(10%) (0%)
Chedyecho,Son of a Bitch,(10%) (2%)
Chont,Cock,(1%) (0%)
Chontli,Testicle,(0%) (0%)
Colwont,Whore,(1%) (1%)
daba daba,Gangbang,(0%) (0%)
Fodo,vagina,(10%) (3%)
Fodri,Pussy,(6%) (38%)
Fuddri,Vagina,(1%) (2%)
Fude,Cunt,(1%) (2%)
Gaand,Arse,(10%) (1%)
Gadith,Man with one testicle,(0%) (0%)
ganDi bot gaali,put your finger in your ass,(10%) (3%)
gandi ke bot davari,put your finger in your asshole,(8%) (17%)
GanDi votto,asshole,(9%) (5%)
Guru,Fodo,(1%) (2%)
kick your ass,Gandi mastita,(0%) (100%)
maari,bastard,(1%) (2%)
Maichi fud,Mother's pussy,(10%) (0%)
masti pisso,mad mental,(8%) (17%)
minni,penis,(10%) (0%)
momme,boobs,(10%) (1%)
momo,boob,(1%) (1%)
moshye fudd,buffalos pussy,(10%) (2%)
muje bonk lew,lick my butthole,(10%) (0%)
paadu,fart,(10%) (1%)
Popoot,penis,(10%) (4%)
Potachea,Bastard,(1%) (1%)
Potnechya,Dog fucker,(10%) (0%)
rande puth,son of a whore,(10%) (3%)
Randecho,Son of a bitch,(10%) (0%)
Shent,Pubic Hair,(10%) (0%)
shet maar pilluk,fuck off(kind off),(9%) (6%)
sunna manngo,dogs dick,(1%) (3%)
sunne jati che,mad mental,(9%) (9%)
Tu Zovlo Khubyakarnicha chedvak,You fucked fisher woman's daughter,(10%) (3%)
Tu Zovlo Khubyakarnik,You fucked fisherwoman,(10%) (0%)
tugile gaandi,your ass,(10%) (2%)
Tujya Baye Fodo,Your Mother cunt,(0%) (0%)
ubyani zhovta,fucking while standing,(0%) (100%)
zhenge,porn,(10%) (0%)
Zonyachea,Motherfucker,(1%) (2%)
zov babak,fuck your father,(10%) (0%)
Zov Bai,Fuck Off,(10%) (0%)
zov rangyak,fuck a whore,(9%) (9%)
