Phrase,Meaning,Is This Accurate?
amaa fui,mothers pussy,(10%) (3%)
Amaa fui,pussy of mother,(10%) (0%)
Amaa handhaan kurey,Remember your mom,(8%) (17%)
amaa thalhaa,mother fucker,(0%) (100%)
Badi,A girl who sleeps with many boys,(10%) (4%)
Buri Loa valhu,Ass hole,(10%) (3%)
Fada boe,drinking womens cum,(0%) (0%)
Fada boey,Drink Mother's cum,(9%) (15%)
Fada Thiki,Cum drop,(10%) (0%)
Fatha folhi,Pussy,(10%) (0%)
magey foah boe,suck my dick,(10%) (2%)
mani boe,drinking cum,(10%) (3%)
Nagoo balhu,Dog,(0%) (100%)
nagoobalhu,bitch,(10%) (0%)
