Phrase,Meaning,Is This Accurate?
"""KUTH-TII"" (or) ""KUTTII""",Bitch,(0%) (0%)
AAGA (or) GUUUUUUU,Shit,(1%) (0%)
amar nunu chat,Suck my dick!,(1%) (1%)
Ami Tumarae Khortham,I Wanna Do U,(0%) (0%)
Ashiq,Penis Hair,(7%) (26%)
baal bichi,hair on your balls,(8%) (18%)
Baal Halaidheese,Eat your pubic hair,(0%) (100%)
Baba choda rendi,Prostitute who fucks her father,(1%) (1%)
bai lerh,roten spunk,(9%) (7%)
banchod,sister fucker,(1%) (1%)
Bandii,Bad Bitch,(0%) (0%)
bara,penis,(9%) (9%)
bara / bada,dick / cock,(10%) (4%)
Bessha,Whore,(0%) (0%)
bhuski maagi,whore with a used & loose pussy,(9%) (6%)
Bichi Chara Potla,Ball less bag!!,(1%) (0%)
Bodmash,pervert,(1%) (1%)
Boga,Dick,(1%) (0%)
boga baicha tor mar boonie sirilymu,dick boy i will rip your mums boobs,(10%) (3%)
Boga Khaa,Suck My Dick,(1%) (0%)
boka choda,stupid fucker,(10%) (1%)
bokachoda,dickhead,(1%) (1%)
Booni,Tits/Breast,(1%) (0%)
botla,fatty,(10%) (2%)
chodna,fucker,(9%) (12%)
Chodon Boiraagi,Boiraagi Fucker,(1%) (0%)
Chodon Idli,Tamil Fucker,(1%) (0%)
chood,fuck/fucker,(1%) (0%)
chudir bhai,brother of a whore,(10%) (2%)
Chudir Bhai,Brother of slut,(0%) (0%)
Chudir Pola,Son of a whore,(1%) (0%)
dan-da,dik,(1%) (2%)
dhon,dick,(1%) (1%)
dofla hetta,fat pussy,(7%) (33%)
fatly,fat girl,(1%) (1%)
Fel,Dick,(1%) (1%)
foga,idiot,(0%) (0%)
"foon, foondh",arse in Moulovibazar everywhere else means Pussy,(10%) (0%)
fungi,sex in smelly pussy,(8%) (17%)
Futki,Arse,(1%) (0%)
fuun-ga,cunt,(10%) (4%)
gorur bachcha,child of a cow,(10%) (4%)
gud,pussy,(9%) (7%)
gud maranir beta,son of fucker,(0%) (0%)
gud/guud,pussy,(1%) (0%)
Guundaa,Gangsta,(1%) (0%)
Haram jada,Bastard,(1%) (0%)
haram jadi,female bastard,(10%) (1%)
Hauwa,Arsehole,(1%) (1%)
hetta muka ath bori dimo,i will fist you (pussy),(10%) (0%)
"hetta, bodha, shauwaa",pussy,(10%) (1%)
"Kalu, Calou, Kalou,Blackie, Keltu, Kelo, Kolo Toure, Djimi Traore, Kalo Hulo, Nigga",Kalu,(1%) (0%)
khanki,whore,(1%) (1%)
khanki chudi magir gude poka,insect on the pussy of whore,(0%) (0%)
khanki/maggi,whore,(1%) (0%)
khankir chele,son of prostitute,(10%) (0%)
Khankir Pola,Son of a whore,(10%) (1%)
khobis or goror khobis,fuck your mum and dad,(1%) (5%)
Kuth-tar Bachcha,Son of a bitch,(1%) (0%)
Kuthar Bacha,Son of a Dog,(0%) (0%)
Kuththar Baiccha (Baich-cha),Son Of A Bitch/Dog,(1%) (0%)
Kuttar Bhaccha,Son of a bitch!,(10%) (5%)
kuttar chod,dog fucker,(10%) (4%)
Kuttar gu,Dog shit,(0%) (0%)
laora,penis,(1%) (0%)
lerr,cum,(0%) (0%)
lerr kawrar fua,cum eater's son,(8%) (17%)
Maagi,Whore/Slut,(1%) (1%)
Maal,Hot girl,(1%) (0%)
maggir putt,prostitutes child,(10%) (4%)
Moga choder bacha,Mother fucker,(0%) (0%)
mother chod,mother fucker,(1%) (1%)
Muta kuta,fat dog,(9%) (10%)
nankta kuttar baccha,naked son of dog,(1%) (0%)
Nunu,Dick,(1%) (1%)
nunu,dick,(1%) (1%)
pagol sagol,crazy sheep,(1%) (1%)
Pagul,Crazy,(10%) (3%)
pasa,ass,(9%) (7%)
podmarani,assfucker,(10%) (0%)
Sagul,Goat,(10%) (3%)
Shauwa,Pussy,(10%) (2%)
shuorer baccha,son of a swine,(0%) (0%)
Shurur Batcha,Son of a bitch,(8%) (23%)
Suda-sudi,Fucking,(1%) (1%)
SUDAURIER FURII,Daughter Of A Slut,(1%) (0%)
SUDAURY,Whore/Slut,(1%) (0%)
Suourer bachcha,Son Of A Wild Boar,(1%) (0%)
SUTHH-MAROUNY,Whore/Slut,(1%) (0%)
thor hetta laythum,i want to lick your pussy,(10%) (0%)
thor maa suda,fuck your mum,(1%) (1%)
thor maar bothoy kha,eat your mums dick,(1%) (1%)
thore astha gao eh sudeh,whole village fucks you,(0%) (0%)
thumar futki marthum,i want fuck you up the arse,(9%) (9%)
"Thumi amar nunu khoa, onek mishti","Eat my dick, its very sweet",(10%) (1%)
Thuuii Bandhorr,You're A Monkey,(1%) (0%)
Thuuii Gaadhaa,You're A Donkey,(1%) (0%)
to-mar ma hetta,your mums pussy,(1%) (1%)
Tor baaf fel Khai,Your dad sucks Dick,(10%) (3%)
Tor Bafor Boga Saat,Lick Your Dad's Dick,(10%) (4%)
tor ma amar fell,your mum is my dik,(1%) (1%)
tor ma boga cha,eat your moms pussy,(1%) (2%)
Tor Maa,Your Mum,(1%) (0%)
tor maa booni nay,your mom has no boobs,(10%) (0%)
tor maa ke chudi,I'll fuck your Mother,(1%) (1%)
Tor mayere chudi,I fuck your mom,(10%) (1%)
Tor nanire chudi,I fuck your Granny,(9%) (6%)
tor nunu bouut boro,your penis is very big,(0%) (0%)
Tor pasha mota,Your buttock is fat,(1%) (0%)
tu ekta bandar,Your a dumbass/monkey/idiot,(10%) (2%)
Tur booga sooto,Your dick is small.,(1%) (1%)
tur mar booni khaa,suck your mums tits,(1%) (1%)
tuy ath marros,your a wanker,(1%) (0%)
Vogchod,fool,(10%) (3%)
