Phrase,Meaning,Is This Accurate?
Bain Chod,Sister fucker,(10%) (1%)
Bainchod,Sister Fucker,(10%) (0%)
Bassa Shouko,smell my ass,(9%) (9%)
chodnar po,son of bitch,(10%) (0%)
Gud-marani,fucker,(0%) (0%)
hagoo,shit,(0%) (0%)
Hijra,Homo/gay,(9%) (9%)
Hoga,Ass,(0%) (100%)
Khankir pola,Son of a whore,(0%) (0%)
Kuthaar Baicha,Son of a Dog,(10%) (0%)
Kuttar Bachcha,Son of a bitch,(0%) (0%)
kuttar bachcha,son of a bitch,(9%) (13%)
Leura,Dick,(9%) (9%)
Magi,Whore/Slut,(0%) (0%)
Mai,Tits,(0%) (0%)
makhal,crazy,(1%) (2%)
muri kha,go fuck yourself,(0%) (100%)
Noakhailla,Loser,(10%) (3%)
randi magi,whore,(0%) (0%)
thor maa khai lai moo,i will eat your mum,(0%) (100%)
thor maar bosoi khai see,i ate your mums dick,(0%) (0%)
Tomar maar putkey fatamu .,I will blast ur mums ass,(1%) (0%)
Tor babar bichi fatabo,I will crack your father's balls,(0%) (0%)
Tor mar sawa kha,Eat your mothers cum,(10%) (0%)
tor mare chudi,fuck your mom,(10%) (0%)
tur ma amar fel be,your mum is my dick yeah,(0%) (100%)
