Phrase,Meaning,Is This Accurate?
Aanguli kora,Masturbation (female),(1%) (0%)
achuda,fucker,(1%) (1%)
ads,bull,(9%) (9%)
Ami tor maa ke chudmu,I will fuck your mum,(10%) (2%)
baal,pubic hair,(1%) (1%)
Baal chhero,Tear your ball hair,(9%) (12%)
Bara,Cock,(10%) (1%)
Beissha Magir Pola,Son of a Prostitute,(10%) (3%)
Bhag,Vagina,(1%) (1%)
Bhoda,Pussy,(10%) (1%)
Bokachoda,Stupid fucker,(10%) (0%)
boltu chire felbo,i will cut your penis,(10%) (3%)
botoi khowra,eat dick,(10%) (3%)
Choda,Fuck,(10%) (2%)
Chood,Fuck,(10%) (4%)
Chudanir pola,Result of fuck (Son),(10%) (0%)
Chudi,Fuck you,(10%) (5%)
Chudmu tor pasai sneha,Prostitute who does anal,(10%) (0%)
Chumban,Kiss,(9%) (5%)
Chumu,Kiss,(10%) (2%)
Dhon,Cock,(10%) (2%)
Dhon khecha,Masturbation (male),(9%) (5%)
Gaand Maarano,Getting fucked in Ass,(10%) (5%)
Gud,Vagina,(10%) (1%)
Humaira,A fat cow,(1%) (3%)
Khanki,Prostitute,(10%) (0%)
khanki Magi,Slut,(10%) (5%)
khankir pola,son of a bitch,(10%) (0%)
kuttar Baccha,Son of a Bitch,(1%) (3%)
lehr kawrar bachha,son of a cum eater,(10%) (0%)
Mang,Pussy,(10%) (0%)
Naang,Boyfriend of wife,(10%) (3%)
pod marani,a girl who is fucked by ass,(10%) (5%)
Pond,Ass,(1%) (1%)
Shetar bal,pubic hair of vagina,(10%) (0%)
Shishna,Penis,(1%) (3%)
Sohail,I like dick,(1%) (5%)
Thor heta muka ath boridimu,i will fist your cunt,(10%) (0%)
Tor Gaar Maari,I'll fuck your ass,(10%) (5%)
Tor maa ke chudi,Fuck your mother,(10%) (2%)
tor mar vhoda,your moms pussy,(10%) (3%)
tumi bal hagu koro!!,You shit pubic shit,(9%) (7%)
Vuuski magi,Nymphomaniac in heat.,(9%) (8%)
