Phrase,Meaning,Is This Accurate?
Aab,Water,(9%) (7%)
baaz akh de,give me one fuck,(1%) (1%)
babba aasus manz choosni,sucking boobs,(1%) (1%)
babbe kache chatai,i will cut ur bra,(9%) (6%)
bablyaath,boob fuck,(9%) (5%)
be lakhay beni,fuck your sister,(10%) (1%)
beni gooud,sisters cunt,(10%) (2%)
Beni lakhai,i will fuck your sister,(1%) (0%)
beyani goood,sisters pussy,(9%) (7%)
bh lakhai che,i will fuck you,(10%) (0%)
Brahman chaenk,Virgin pussy,(8%) (23%)
Chaaan,Carpenter,(0%) (0%)
chakij,ass,(10%) (0%)
chakjeh goud,asshole,(9%) (13%)
Chapin,Sandal,(0%) (0%)
che chui mazze lakhnas,You are so delicious while Fucking,(10%) (3%)
Choti travi marchevangan,I will put chilly in Ur ass,(9%) (9%)
Chotul,Asshole,(9%) (9%)
chwath,ass,(10%) (2%)
Dagaddalli maa de bacheio,Prostitute son,(0%) (100%)
Dawa woal,Drugist,(10%) (0%)
diyanawaan,getting Fucked,(10%) (0%)
duniyah che khap,this world is waste,(0%) (100%)
Fhalaan,Dick,(0%) (0%)
fis,small dick,(10%) (0%)
Gaan,Pervert and pimp,(0%) (0%)
gaani bach,illegal son/daughter,(10%) (0%)
Gees,Shit or poo,(10%) (0%)
ghain,whore,(10%) (0%)
Gooid prah,Thirsty for sex,(0%) (0%)
Goudi Sawaer,"Humping, Pussy riding",(0%) (0%)
guude,pussy,(0%) (0%)
Ha kole madarchoda,Hey you motherfucker,(10%) (0%)
Hahra,My wife brother,(0%) (0%)
haramuk,Bastard,(10%) (0%)
Hasna,Big Dick,(0%) (100%)
Haspataal,Hospital,(0%) (0%)
houn goudiuk,dog's asshole,(0%) (100%)
kani jung,stone pelting,(0%) (0%)
Khade daez,Woman with burnt vulva,(0%) (0%)
khape chraethe,to fucking,(0%) (0%)
khapkhap,fucking,(0%) (0%)
Kucher,Dick,(10%) (0%)
laith,cock,(10%) (0%)
langan dimay darith,i will fuck your legs,(0%) (100%)
lazmai bene,fuck your sister,(9%) (13%)
lazmai goudis,fuck your pussy,(10%) (2%)
Lazmaiye Mael Sinze Kori,Fuck your fathers daughter,(10%) (4%)
Lazmayi babbun,I Fuck ur boobs,(10%) (2%)
lazmie lyath,fuck you with my penis,(8%) (17%)
Lechmayaa benzi,I'll fuck your niece,(0%) (0%)
Lezmaye Lyaath,Fuck You,(9%) (5%)
liyath chani goodis,put my dick in your pussy,(9%) (14%)
lyaath,long dick,(10%) (3%)
lyath kal,dick head,(0%) (0%)
lyathee kale,dickhead,(9%) (13%)
Lyathh,Dick,(0%) (100%)
Ma lakh goudis,Fuck my pussy,(10%) (2%)
maaji gooud,sisters cunt,(1%) (7%)
maaji lakhai,i will fuck your mother,(10%) (0%)
maeji guudh,mother's pusseehh,(0%) (100%)
maeji lyaath,mother's dick,(9%) (7%)
maelis lakhai,i will fuck your father,(8%) (17%)
mambre kalle,penis head,(9%) (9%)
Meethir,Pee or urine,(0%) (0%)
Momri Kalle,Dickhead,(10%) (0%)
MUAMD,very big dick,(1%) (2%)
Mumer,Penis,(0%) (0%)
Mye kya zok kadkhe,you can't even pluck my pubic hair,(9%) (9%)
Naer,Arm,(0%) (100%)
Pael,Nuts,(0%) (100%)
phutyaa poon,your asshole will crack up,(0%) (100%)
ponas lakhai,i will fuck your asshole,(8%) (17%)
ponas manz chu chout kieom,you have got insect in your asshole,(9%) (5%)
Ponne Tecczh,Underwear,(9%) (9%)
Poon,Anus,(9%) (9%)
poonus lakhai,fuck you from behind,(10%) (1%)
rath mein lyath,suck my penis,(8%) (17%)
sa here tok mi haijla,stupid bitch,(10%) (0%)
Sabzi woal,Grocer,(0%) (0%)
Seel tuluai,I'll Break your hymen,(10%) (0%)
seous good,with small penis,(0%) (0%)
Siiech,Tailor,(0%) (0%)
Sous,Small asshole,(0%) (100%)
Taech,Toilet,(0%) (0%)
tche che baji bab,you have big tits,(10%) (0%)
thapi karani,Fucking,(7%) (26%)
Watul,Sweeper,(0%) (0%)
Zakal ponz,Monkey with public hair,(10%) (0%)
Zang,Legs,(0%) (0%)
Zinhook,Illegal son,(0%) (0%)
zoake goodh,Hairy passy,(0%) (0%)
zok,pubic hair,(10%) (4%)
zokke poan,hairy asshole,(10%) (0%)
Zokkk,Pubic hair,(10%) (0%)
