Phrase,Meaning,Is This Accurate?
Gandah kullah pudha,Big dirty pussy,(9%) (9%)
Gandhu,Gay,(0%) (100%)
Gandhu bastar,Gay bastad,(0%) (0%)
Hanzeer da puthar,Son of a donkey,(9%) (9%)
Jannay na puthar,Son of a man,(0%) (0%)
Kalayah,Blacky,(10%) (0%)
Khotah,Donkey,(0%) (0%)
Khotay da puthar,Son of a donkey,(0%) (100%)
Kuttah,Dog,(0%) (0%)
Kuttay na puthar,Son of a dog,(0%) (0%)
Kutthi,Bitch,(0%) (0%)
Lan choop,Suck dick,(0%) (0%)
Lofar,Street thug,(0%) (0%)
Mammay,Tits,(0%) (0%)
May thara pudha marsah,I'm gonna fuck your pussy,(0%) (0%)
Nikki lan,Small dick,(0%) (0%)
Pahari ki aulad,Sons of the mountains,(0%) (0%)
Pudhu goray,Pussy white people,(10%) (0%)
Randi na puthar,Son of a whore,(10%) (5%)
Yadeenah,Fucker,(10%) (0%)
