Phrase,Meaning,Is This Accurate?
aai chi gand,Moma's ass,(1%) (0%)
Aai ghalya,mother fucker,(0%) (0%)
aai javada,mother fucker,(1%) (0%)
aaichya gavat pay,leg in mothers village,(1%) (2%)
Aandya,Penis,(1%) (3%)
ai zawlee,fuck your mother,(1%) (0%)
akkar mashi,pimp,(1%) (2%)
Aye Jhaatu,You Pubic hair,(10%) (3%)
ayica dana,mother cunt,(1%) (2%)
Badak Zawarya,duck fucker,(9%) (7%)
Bhadavya,pimp,(1%) (0%)
Bhikaar Chot,You Beggar's Dick,(1%) (1%)
Bhosada,Loose stretched well used pussy,(10%) (4%)
Bin gotyaachya,Man without testis,(1%) (0%)
Bulli chokya,Penis sucker,(10%) (0%)
Chhaiyla,Mother fucker,(6%) (44%)
Chhinal,Whore,(10%) (3%)
Chinaal maichya,Son of whore,(10%) (0%)
chinal,bitch,(8%) (17%)
chut marichya,pussy fucker,(1%) (0%)
Chut Marichya,Pussy Fucker,(10%) (2%)
fodri pisaat,pussy maniac,(10%) (3%)
Fodricchya,Son of a bitch,(10%) (1%)
fokanchidy,birds hole,(9%) (10%)
Foknicha,Son Of prostitute,(1%) (0%)
Gand khaya,Ass eater,(10%) (5%)
Gand phatli bhenchod,Ass teared,(10%) (0%)
Gandit Ghuslo,fucked you in the ass (doggy style),(1%) (1%)
Gandoo,Asshole,(1%) (0%)
Gav Zawadi,Woman who is used by everyone,(10%) (0%)
Hepari,Woman who gets fucked too much,(10%) (0%)
Jhavadya,fucker,(1%) (0%)
Kanadal,Woman who is very horny itchy Cunt,(10%) (0%)
khargatya gandicha,unwashed ass,(10%) (2%)
Khullya lavdyacchya,Son of a lunatic man,(10%) (0%)
lal gandya,red ass,(10%) (5%)
Laudu,My penis,(1%) (1%)
Lavadya,penis,(1%) (0%)
Lingapisat,Pussy obsessed,(10%) (5%)
madarchod,mother fucker,(10%) (2%)
madarchoth,fuck ur mom,(10%) (3%)
marathi,marathi,(10%) (2%)
Muttha,Serial masturbator,(10%) (2%)
Paadar Gandichya,Farty Assed,(10%) (2%)
pachi bota bhundyat,all 5 fingers in ur ass,(10%) (2%)
phodarphatya,One with torn cunt,(10%) (3%)
Phodree Pisat,Pussy Crazy,(10%) (5%)
Pucchi Khajvya,Pussy Scratcher,(0%) (0%)
puchi,pussy,(10%) (4%)
Raandichya,You son of a whore,(10%) (1%)
Randechya,Son of a bitch,(0%) (0%)
Shanya lavdyacchya,Son of a wise man,(0%) (100%)
shata ki chutney,pubic hair chutney,(10%) (0%)
shattya,your mother's pussy,(1%) (2%)
Shebnya,Chut lover,(10%) (0%)
Telkat Randi,Oily whore,(10%) (0%)
tondaat gay,suck my dick,(1%) (0%)
tujha aila kutryawani zawin,will fuck ur mother like dog,(10%) (1%)
tuji ai mutli madkyat phala-phala,ur mother pissed in pot,(0%) (0%)
Tuji aiee chi gaand,fuk your mothers ass,(1%) (2%)
Tujya aaicha puchha,Your mother's pussy,(9%) (9%)
tuza baap dhandewala,your father prostitute,(10%) (5%)
tuzi aai padli madkyat,your mother farted in a bowl,(10%) (2%)
tuzi aai padli tuzya tondat,your mother farted in your mouth,(10%) (2%)
tuzua aaichi pucchi viskatli 40 ekrat,mothers pussy spread in 40 acres,(10%) (2%)
Tuzya aai chi Phodree,Your mothers pussy,(10%) (0%)
tuzya aaicha foda,your mother pussy,(10%) (1%)
tuzya aaicha lavda,your mother penis,(10%) (2%)
tuzya aaichi gand,ass of your mother,(10%) (1%)
tuzya aaichi pucchi,your mother's pussy,(10%) (2%)
tuzya aaichya gandit mungya,ants in your mother's ass,(1%) (5%)
tuzya aaichya pucchila chavla kutra,dog have bitten your mothers pussy,(10%) (1%)
tuzya aaichya pucchila chavla sap,dog have bitten your mothers pussy,(1%) (2%)
tuzya aaila zavla kala kutra,black dog fucked your mother,(10%) (2%)
Tuzya aii zavneya tuzya baapla,You mother fucked your father,(10%) (4%)
Tuzya bapacha pay adakla sandasat.,Your father's leg got stuck in toilet wastehole.,(10%) (1%)
Tuzya gaandit paay,Leg in ur ass,(10%) (3%)
Yadzava,Idiot fucker,(10%) (0%)
yadzavya,mad fucker,(10%) (3%)
Yeda lavdya,Crazy dick,(9%) (9%)
zavadya,fucker,(9%) (7%)
Zavkhor,One who fucks regularly,(0%) (0%)
zavnya,fucker,(1%) (1%)
