Phrase,Meaning,Is This Accurate?
ABHADRA,MANNERLESS,(10%) (3%)
Baanda,Penis,(1%) (0%)
Bada bou ghia,aunty fucker,(1%) (1%)
banda,penis,(10%) (0%)
Banda,Penis,(1%) (1%)
banda chhod,masturing,(10%) (3%)
Banda mundi,Tip of pennis,(1%) (0%)
BARBARA,CLUELESS,(10%) (0%)
Batakara (pela),balls,(10%) (3%)
bedha bia,fucking pussy,(10%) (3%)
Bedha toka,son of prostitute,(1%) (1%)
Bedha Toke,Bastard Girl,(1%) (1%)
bedhei,a prostitute,(10%) (4%)
Bedhei pua,Son of Prostitute.,(10%) (2%)
bhauni giha,sister fucker,(10%) (2%)
bia fata mada,fucking till satisfaction,(1%) (1%)
bia ku darkar jaghanya gihan,cunt need's very hard fucking,(8%) (17%)
Biaa,Vagina,(1%) (0%)
Bija,Semen,(0%) (0%)
Biya chudi,Vagina buster,(10%) (5%)
Bujula,Boobs,(8%) (21%)
chodipua,rascal fellow,(10%) (3%)
chukiba,sucking penis,(10%) (5%)
dana,boobs,(10%) (2%)
Faizan,Cunt,(10%) (0%)
fusa chata,ass sucker,(10%) (0%)
fusa kura,ass itcher,(0%) (0%)
Gaandiaa,Gay Bottom,(0%) (0%)
gandi,ass,(10%) (2%)
Gandi gia,Ass fucker,(10%) (2%)
Gandi Mara Sankara,Ass fucker bastard,(1%) (0%)
Gandire Banda,Cock in the Ass,(0%) (0%)
Gayee de,Fuck off,(9%) (7%)
gehiba,fucking,(10%) (1%)
Ghoda Gehin Pua,Son of Horse Fucker,(10%) (2%)
Ghoda Ghein Bedha Toke,Horse Fucking prostitute girl,(1%) (0%)
Ghusuri ghiaa,Pig fucker,(10%) (0%)
Goola gandha,Stinking boobs,(10%) (0%)
gosti gian,fucker family,(0%) (0%)
Guola,Boobs,(9%) (6%)
Hagura magia,Coward mother fucker,(10%) (0%)
Han ta nalire goithe,kick at his dick,(8%) (17%)
hinjada,enuch,(10%) (2%)
hinjida,enuch,(10%) (1%)
Laathi biya re kaathi,Stick in girlfriends pussy,(9%) (9%)
Maa bia ra pua,Son of the mother's vagina,(0%) (0%)
Maa ghia,Mother fucker,(9%) (9%)
Maa gia,Fuck your mother,(10%) (0%)
maagya,mother fucker,(10%) (1%)
madarchaut,mother fucker,(10%) (4%)
Mankada ghiya,monkey Fucker,(10%) (2%)
mankada giha,monkey fucker,(10%) (1%)
mo priya ra bia re lagichi nia!!!!!,there is fire in my lovers vagina,(1%) (0%)
Mo Priya ra Gandi re Niya,Fire in my lovers Ass,(10%) (1%)
Moro banda chaape,Suck my dick,(9%) (9%)
Mu tomo bhallo pauchu,"Guy means ""I want to fuck u..eventually""",(7%) (26%)
Muuthi mara magia,Masturbating motherfucker,(9%) (13%)
naani bia re ghian,fuck your sister pussy,(1%) (0%)
Nanna gia,Father fucker,(10%) (0%)
PASANDA,UNEDUCATED,(10%) (0%)
Pela,Balls ( Scrotum),(10%) (0%)
Pela phata maada,Balls buster shot,(10%) (5%)
pelei pua,bastard,(1%) (1%)
Pelei pua,Son of fucker,(10%) (5%)
Pelei Puo,Son of bitch,(10%) (0%)
PUDI,VAGINA,(0%) (0%)
randa (Pronounce Ra as robbery not as rabbit,prostitute,(1%) (0%)
Randa ku banda dhamakani,a penis threatening to a whore,(10%) (2%)
Randi puo,Prostitute's son,(0%) (0%)
senti,vagina hole,(1%) (1%)
Senti,Clitoris,(0%) (0%)
Tate Gehibi,I will fuck you,(10%) (2%)
Thoola phata maada,Sex till balls are swollen,(10%) (0%)
To bhauni bia re ghia,Fuck in your sister's cunt,(10%) (5%)
To bou BIA,Your Mother Vagina,(10%) (2%)
To Gandire Ghien,Fuck your Ass,(10%) (0%)
To Gandire Mo Banda,My Cock in your Ass,(10%) (0%)
To Maa Bia re ghein,Fuck you in your mother's vagina,(10%) (1%)
To Maa Biya Re Ghen,Fuck you mother's cunt,(10%) (2%)
To maa ku gihe,I will fuck your mother,(9%) (5%)
to maa ku kukur gaheun,will fuck ur mother like dog,(8%) (21%)
To Maipa Biaare gihen,Fuck your wife's Cunt,(10%) (0%)
To Maipa Biaare Gihen,Shall Fuck in your wife's cunt,(0%) (0%)
To Maipa Gandi maribi,Shall fuck your wife's Ass,(10%) (1%)
To Maipa Gandire gihen,Fuck your wife's Ass,(10%) (0%)
