Phrase,Meaning,Is This Accurate?
Bagul butcha,Crazy boy,(1%) (1%)
Bewakoof,Stupid,(0%) (0%)
Bhen da shola,Sister's Pussy,(0%) (0%)
Bhen Da Yaar,Sister's Boy Friend,(0%) (0%)
Bhenchod,Sister Fucker,(0%) (0%)
Bhenchode,Sister Fucker,(10%) (1%)
bhonsdu,ass sucker,(1%) (0%)
Bibi di fudi,Grandmothers pussy,(0%) (0%)
bokki,pussy,(9%) (8%)
Bondu,Gay,(0%) (0%)
bondu,homosexual,(10%) (1%)
bund,ass,(1%) (1%)
Bund,Ass,(0%) (0%)
bund de,let me fuck your ass,(10%) (3%)
Bund Mara,Get ass fucked,(1%) (0%)
Bund marr,Fuck the ass,(10%) (5%)
chaval,scoundrel,(1%) (0%)
Chitta Bander / Kalla Bander,White Monkey / Black Monkey,(1%) (0%)
Chitterchort,Bum Shagger,(0%) (0%)
choos mera badaam,suck my nuts,(10%) (5%)
chutha,vagina,(1%) (1%)
Chutiyaa,"Idiot, Asshole",(0%) (0%)
chuttiya,shifty cunt,(10%) (3%)
dallah,pimp,(1%) (0%)
Dhila lan de padiash,born by lose dick,(1%) (0%)
Fooduu,Dumbass,(9%) (14%)
fuddi hayon da,pussy sucker,(1%) (0%)
fudi,pussy,(1%) (0%)
Fudi chut,Lick pussy,(10%) (0%)
Fudi da tataa,Testies of vagina,(1%) (1%)
fudi fry karna,making out,(9%) (6%)
fudi hyounda,pussy lips,(10%) (4%)
gand,ass,(10%) (0%)
gandu,gay/botty man,(1%) (0%)
Gandu,Gay,(1%) (1%)
ganndu,gay,(10%) (2%)
Gashti,Whore,(1%) (0%)
ghashti,bitch,(1%) (1%)
haram da,son of a bastard,(1%) (0%)
harami saale,son of bitch,(1%) (1%)
Haramjada,Bastard,(1%) (0%)
Jaa apne braah nu chod laa,Go fuck your brother,(1%) (0%)
kala lulla pi,drink black dick,(9%) (9%)
kanjar,male prostitue,(1%) (0%)
Kanjar,Male Whore,(1%) (0%)
Kanjari,Female Whore,(1%) (0%)
Kenjer,Fucker,(9%) (13%)
Khota,Donkey,(1%) (0%)
kissey kuti ma da puttar,some bitch mothers son,(1%) (0%)
Klatch,Idiot/dickhead,(10%) (0%)
Kuta,Dog,(1%) (0%)
kuta,dog,(10%) (3%)
Kutha,Male Dog,(1%) (0%)
kuthay da puthar,son of a dog,(1%) (0%)
Kuthi,Female Dog,(1%) (0%)
kuti,"female dog, bitch",(1%) (0%)
Laan tare mow nee,Your mums dick,(10%) (2%)
lan chat,lick cock,(1%) (0%)
lan choos,suck cock,(1%) (0%)
Lauda,Dick,(10%) (0%)
Lul,Dick,(1%) (1%)
lula bahonder tup,go suck monkey dick,(10%) (0%)
lula chooshe,suck dick,(10%) (4%)
Lun,Dick,(1%) (0%)
Lun choos,Suck my cock,(0%) (100%)
Lun Chung,Suck Dick,(1%) (0%)
Lun kurra how gaya,I have a hard on,(10%) (0%)
lun te charrh,sit on my dick,(10%) (2%)
Lund,Dick,(0%) (0%)
Lund Chuss,Suck Dick,(1%) (0%)
Lunni,Small dick,(10%) (0%)
Ma chod,Mother fucker,(1%) (0%)
ma di podi,mums fanny,(1%) (1%)
maa-jhouda,motherfucker,(1%) (1%)
Maan Da Yaar,Mother's Boy Friend,(1%) (0%)
MaanChod,Mother Fucker,(1%) (0%)
Mamai,Boobs,(1%) (0%)
Mamai Chuss,Suck Boobs,(1%) (0%)
mamai patta,grope tits,(1%) (1%)
mango,dirty little shit,(1%) (3%)
mao ni puddi,your mums vagina,(9%) (13%)
matarchod,fuck ur mother,(1%) (1%)
Mau ni yakk,Mother fucker,(0%) (100%)
Meh tera tueh vich aangliyan devan,Im gonna finger ur ass,(10%) (3%)
Menu zor nal lan mar,Fuck me hard,(10%) (0%)
Mera lan sakht ah,My dick is hard,(9%) (12%)
Mera lan tera tueh ki paarsi,My dick is gonna rip ur ass,(10%) (2%)
Mera lun choos ta aangly mar,Suck my dick and finger me,(10%) (0%)
mera lund teri bund de betch,my dick in ur ass,(1%) (0%)
mere lund tey charr ke nach!,get on my cock and dance!,(10%) (0%)
Meri Tutti Kha,Eat my shit,(1%) (0%)
Mume,Breast,(10%) (2%)
Muth Maar,Masturbate,(1%) (0%)
nuts ko suck kurrow,suck my nuts,(9%) (7%)
pad mar,do a fart,(1%) (0%)
Pan da yaar,Sister's friend or sister fucker,(10%) (5%)
Panchod salaa,Fucking Bastard,(1%) (2%)
Peshaab,Piss,(10%) (5%)
phen chodtha,sister fuck,(10%) (1%)
poo,tatti,(1%) (1%)
Pud,Fart,(10%) (0%)
Puddu,Idiot,(1%) (2%)
Pudhi avandeya,Cunt (male person),(10%) (5%)
Pudi,Pussy,(1%) (0%)
randi,slut/whore,(1%) (1%)
soor,pig,(1%) (0%)
Tatte,Testicals,(1%) (0%)
tatte chaude,wide separated testes,(9%) (10%)
tatte fad lo,hold my balls,(10%) (0%)
tatte hayon da,testis sucker,(1%) (1%)
taxi,slut,(1%) (1%)
Teri Bhen Dee Fuddi Mari,I'll fuck your sister,(1%) (1%)
teri bhen di ghusi,your sisters pussy,(10%) (0%)
teri bund ch lakad,fuck ur ass,(1%) (1%)
Teri bund marni aa,I wanna fuck your ass,(10%) (0%)
teri fudi wich lul marya,i want to fuck you,(0%) (0%)
Teri ma da ghusa,Your mothers pussy,(0%) (0%)
Teri ma di khali phudi,your mums black cunt,(1%) (0%)
Teri ma the fudi,Your mom's pussy,(1%) (0%)
teri maa da fudda,your's mother big vagina,(10%) (1%)
teri maa da posrha,your's mother vagina,(10%) (4%)
Teri maa dai ccholay,Your mothers balls,(1%) (1%)
teri maa dee tutee swaad ya,your mom's shit taste good,(1%) (1%)
Teri maa di gandi phuddi,Your mums dirty fanny,(1%) (0%)
Teri Maa Di Koosii Kay Uppar !,Up Your Mothers Ass!,(10%) (0%)
teri maa di pudi vich lath,leg in your moms pussy,(1%) (0%)
teri maa nu lund,cock to your mother,(10%) (4%)
Teri Maan Dee Fuddi Mari,I'll fuck your mother,(1%) (1%)
teri paan dee lund,your sister's cock,(1%) (0%)
Teri paan di fudi parrne,im goin to rip your sister pussy,(1%) (1%)
teri paen nu lan,dick in your sisters pussy,(1%) (0%)
Teri pain dha pahraya hoya phudda,Your sisters ripped pussy,(10%) (4%)
teri pen da pudda,your sisters pussy,(1%) (0%)
terri ma di fuid parne,i am gonna rip your mom's pussy,(1%) (1%)
topa,dick head,(1%) (0%)
Topa,Dickhead,(1%) (0%)
Topa te beja,Sat on the top of my cock,(1%) (1%)
Tu Bhen Da Yaar,You are your sister's boyfriend,(1%) (1%)
Tu Maan Da Yaar,You are your mother's boyfriend,(1%) (0%)
tu vich leni daa.,u fucked in womb.,(1%) (1%)
Tutta,One of your balls,(8%) (17%)
Tuttay,balls,(1%) (3%)
