Phrase,Meaning,Is This Accurate?
Andoo,testicles,(10%) (0%)
behenien khe yahan,fuck your sister,(10%) (3%)
Bhairain jo yaar,your sister's boyfriend/paramour,(10%) (0%)
Bharain khe,to your brother,(6%) (44%)
Bharvo,pimp,(9%) (9%)
Bhavesh,Asshole.=,(1%) (2%)
Bhen ja chud,sister's pussy,(10%) (0%)
Bherain khe,to your sister,(0%) (0%)
Budhi muhandro,Genital-like facial features,(0%) (0%)
Charyo,Crazy/Mad,(10%) (0%)
Chora,Bastard,(0%) (0%)
Chora / Chori,"Male/Female Bastard, Street Urchin",(0%) (0%)
Chud,Vagina,(0%) (0%)
Chud Budhi jo,son of a dick and pussy,(9%) (9%)
Chud muhandro,Vagina like facial features,(0%) (0%)
chutia,pussy,(10%) (0%)
Chutoon,male whore,(0%) (0%)
Dallo,pimp,(0%) (0%)
gui jo tung,asshole,(10%) (2%)
Guii / Gaand,Ass,(10%) (0%)
Jadija,Fucker,(1%) (2%)
kakus,poty,(10%) (0%)
Kutey ja putta,Son of a dog,(1%) (0%)
lalli,penis,(10%) (2%)
Lun choop,suck cock/dick,(0%) (0%)
Lun khao,cocksucker / dick eater,(0%) (0%)
Lun muhandro,Dick-like facial features,(0%) (0%)
Maa ja chud,vagina of his own mother,(0%) (0%)
maa ji teeta,your moms vagina,(0%) (0%)
Madar chot,mother fucker,(0%) (0%)
Marhain jo yaar,your mother's boyfriend/paramour,(0%) (0%)
Marhain khe,to your mother,(0%) (0%)
Marhen khe yahan,fuck your mother,(0%) (0%)
Mujhko aapka bur chahiye,Mujhko aapka bur chahiye,(10%) (0%)
neech,blood sucker,(0%) (0%)
Pelo / Pela,testicle / testicles,(0%) (0%)
Pelorray,Testicles,(0%) (0%)
Pirhain ji yaar,your father's girlfriend/paramour,(0%) (0%)
"Pirhain ji yaar (adding ""Jo"" will make the Paramour masculine)",your father's girlfriend/paramour,(0%) (0%)
Pirhain khe,to your father,(0%) (100%)
ran yadho,wife fucked,(10%) (0%)
Ranayadha,Son of a whore,(9%) (5%)
Randi jo putr,sone of a whore,(0%) (0%)
Sagro muo,asshole,(10%) (0%)
Teetay main,in your/her vagina,(0%) (0%)
