Phrase,Meaning,Is This Accurate?
Guddha naku,Lick as,(1%) (0%)
Guddha pagala dengutha,I will fuck the ass untill breakage,(1%) (0%)
aathulu,pubic hair,(1%) (0%)
aathulu peeku,pluck my pubes,(10%) (1%)
aathulu peekutha,pluck your pubes,(1%) (0%)
Aati Mokka,Pubic hair,(10%) (5%)
akka bokka lO naa sulla,my dick in sister's pussy,(10%) (2%)
akka nee pooku dengutha,"sister, i'll fuck you",(1%) (1%)
amma pooku ki baanisa,slave to mother's pussy,(9%) (13%)
amma pooku lo arati pandu,banana in mommys pussy,(10%) (0%)
ATTHA POOKU DENGINA ALLDU,SON IN LAW WHO FUCKED MOTHER IN LAW,(1%) (0%)
bochu,"hair, pubic hair",(1%) (0%)
Bosudi,Bitch,(0%) (0%)
chilipiga thittatam,english,(1%) (4%)
Chitthu Pooka,Waste cunt,(1%) (1%)
Dengithe dayyalu pudatai,Ghosts will born if I fuck you,(0%) (0%)
Dengu,Fuck,(0%) (0%)
doola lanja,horny whore,(10%) (2%)
Gaadida Pichaloda,You are a Donkey Dick,(10%) (2%)
Gaja madda,Elephants dick,(9%) (9%)
golli cheeku ra kodaka,suck my clit son,(1%) (1%)
golli chekutha lanja,suck your clit whore,(10%) (4%)
Gudda,Arse,(1%) (0%)
gudda,asshole,(1%) (0%)
gudda naaku,lick the asshole,(1%) (1%)
Hasta Prayogam chai,Masturbate,(1%) (0%)
Jinniappa,Balls,(9%) (9%)
kammani pooku,sweet cunt,(1%) (1%)
Kojja,Homosexual,(9%) (7%)
Konamodda,Front ball of the Dick,(1%) (1%)
kukka -pooka,bitch's cunt,(1%) (1%)
kukka sulli,Dog's dick,(1%) (0%)
Kuthuru vongudu..alludu dhengudu,daughter.bends..son in law fucks,(10%) (3%)
LANGA VIPPAVAE LANJAA,REMOVE YOUR PETTI COAT,(1%) (0%)
lanja,prostitute,(1%) (0%)
lanja - kodka,son of a prostitute,(1%) (0%)
Lanja munda,Dirty Bitch,(1%) (1%)
lanja pooka,prostitute`s vagina,(10%) (2%)
Lanjakodka,Son of a bitch!,(10%) (4%)
Marmangam,secret organ,(1%) (3%)
Modda,Dick,(1%) (0%)
modda cheeku lanja,suck my dick whore,(9%) (8%)
MODDA KUDUVU,SUCK MY COCK,(1%) (1%)
modda naaku,lick the cock,(10%) (2%)
modda notlo petti dengutha,fuck your mouth,(1%) (1%)
"modda, lavada, daddu, magatanam",dick,(10%) (3%)
"muchchika, chanu mona",nipple,(10%) (3%)
muddy lo velu petuko,stick your finger in my ass,(9%) (5%)
naa modda gudu,suck my cock,(10%) (4%)
Ne akka nu denga,sister fucker,(1%) (1%)
ne akkan ma kukka dengha,my dog fuck ur sister,(10%) (2%)
Ne amma pukkulo naa modda,my cock in your mothers cunt,(1%) (0%)
ne jathini kukka denga,dog fuck ur family,(10%) (2%)
ne notlo naa suli,my cock in your mouth,(10%) (2%)
Ne pookula na sulli,My dick in your pussy,(10%) (0%)
Nee aali pookulo Rampam,Saw up your wife`s pussy,(10%) (4%)
NEE AKKAANI DENGAA,I FUCK YUR SISTER,(10%) (1%)
nee akkanu denga,fuck your sister,(10%) (2%)
NEE ALINI DENGAA,I FUCK YOUR WIFE,(1%) (1%)
nee amma guddani denga,fuck your mother`s ass,(9%) (13%)
nee amma kuttani denga,May I fuck your mom,(9%) (7%)
