Phrase,Meaning,Is This Accurate?
aaja choos mera lurs,come here and suck my big dick,(1%) (1%)
Aap ka aana,You come,(1%) (5%)
apna lun cuti shur,cut your dick off,(1%) (1%)
"Balal, mera noonoo na choop se",Balal suck my dick now,(10%) (4%)
Behn ki chutar,sister's vagina,(9%) (7%)
Bhadwe Ki Nasal,Illegitimate Son of a Pimp,(0%) (0%)
bhai chode,brother fucker,(1%) (1%)
Bhen chot,Sisterfucker,(0%) (0%)
Bhen ke lorray,Sister's penis,(1%) (0%)
bosard chodi kay,bad fucked child,(1%) (1%)
Bund ke Biryani,Biryani of bund,(10%) (2%)
chatt merai tattai,lick my balls,(10%) (0%)
Choom meri Gaand,Kiss my ass,(10%) (2%)
Choos Mera Lora,Suck my Dick,(1%) (1%)
chooth kay pakoray,vaginal treats,(1%) (1%)
choti se luli,small penis,(1%) (0%)
Chupa la lay,Suck dick,(0%) (0%)
Chut ke chatney,Chutney of vagina,(8%) (23%)
dalla,pimp,(1%) (1%)
dari moni pudi mari,I fucked your mother,(1%) (6%)
deli mali guti,your mum is a bitch,(1%) (2%)
doe dolla raandee,2 dollar whore,(1%) (1%)
Duffah oja,Get lost,(1%) (0%)
eik dolla raande,1 dollar whore,(1%) (1%)
gaand chamchi,spoon up your ass,(10%) (1%)
gaand ka bukhaar,pain in the ass,(10%) (2%)
Gaddha,Donkey,(1%) (0%)
ghandoo,dick,(1%) (4%)
Ghasti Kay Bachay,Son Of A Bitch,(0%) (0%)
haraam salle,bastard,(1%) (1%)
Haraamzada,Son of a bitch (male),(9%) (13%)
Haraamzadi,Son of a bitch (female),(6%) (44%)
haram salla,bitch dog,(9%) (6%)
jhaant kay baal,pubic hair,(9%) (7%)
kaala bandar,black bitch,(1%) (9%)
Kamina,rascal,(10%) (0%)
kanjeri kay bachay,prostitute child,(10%) (3%)
Khuss madri kay,from a mothers vagina,(1%) (1%)
kute liche ho chublo,Bitch get down and suck,(1%) (1%)
kutee chode,dog fucker,(1%) (1%)
kutta,dog,(1%) (0%)
Kuttay ka bacha,Son of a dog,(1%) (0%)
kutte ka ghanta,Dog's dick,(1%) (1%)
Kutti,Bitch,(1%) (0%)
kutti ka bacha,son of a bitch,(1%) (0%)
lalchi kutte kaa bacha,son of a crazy dog,(10%) (2%)
Lola/Lula,Dick,(1%) (1%)
looly,penis,(1%) (0%)
lora le kay nach mera,take my penis and dance,(10%) (0%)
Lula mu ki lan,Dick i shagged your mam,(10%) (2%)
lulmuah,dick head,(1%) (1%)
Lun Chuse,Suck a dick,(1%) (1%)
Lund Pe Charh,Ride My Dick,(10%) (0%)
Maan Chod,Mother Fucker,(0%) (0%)
Maan kay laurday,Mother's cock,(1%) (1%)
madarugly,your mother is ugly,(8%) (21%)
Mather chot,Motherfucker,(1%) (0%)
Mayyaada,Mother fucker,(1%) (1%)
meera loora choo so,suck my dick,(1%) (1%)
meli mali guta,i am a bitch,(1%) (2%)
mera laan choop,suck by cock,(1%) (1%)
monney podey,a mum's cock,(1%) (1%)
moomeh,boobs,(1%) (1%)
muth ki malai,rotten semen,(10%) (4%)
Myyaada,Mother fucker,(1%) (1%)
pancho,fuck,(1%) (1%)
peasah nah mahr,dont fart,(1%) (1%)
Phudi,Pussy,(10%) (0%)
poody,fanny,(1%) (1%)
Randee ka bacha,Son of a whore,(1%) (0%)
Randi ki nasal,Generation of whore,(10%) (2%)
rundi ka bacha,son of a whore,(1%) (0%)
Shudra Lund,Big Black Dalit Dick,(9%) (5%)
Tamil Lund,Big Black Dravidian Dick,(1%) (1%)
tari beh na puda paarsan,im gonna rip ur moms vagina,(10%) (3%)
Tattay chooso,suck my balls,(1%) (0%)
tattee choad,shithead,(1%) (1%)
tere bhen meri chod hain,your sister is my dick,(9%) (13%)
tere gand maroo,fuck you,(10%) (2%)
Teri Gaand Main Kutta Mutre,Dog Pees in Your Ass,(10%) (0%)
teri gand ma keera hai,an insect in ur ass,(10%) (3%)
teri gand mera lun hai,my dick in your ass,(1%) (1%)
teri ma khuti,you mom ia a bitch,(1%) (0%)
Teri Ma ki choot,Your mother pussy,(10%) (0%)
Teri Ma Ko Kuttey Chodein,May dogs fuck your mom,(1%) (0%)
teri maa ki phudi,your moms pussy,(10%) (3%)
Toomaray tattay baraay pahraay heh,Youe balls are very heavy,(1%) (1%)
tu tho meri chod ki tara :P,you look like my dick :P,(10%) (3%)
Uloo Ki Pata,Son of An Owl,(1%) (1%)
Uloo Ki Pati,Daughter of An Owl,(1%) (1%)
ulu chod,owl fucker,(1%) (1%)
