Phrase,Meaning,Is This Accurate?
"""Ninde ama, pati!""","Your mom, bitch!",(0%) (0%)
Aaana kunna,Big dick,(1%) (0%)
aan-vedi,man whore,(1%) (1%)
achante andi,dads dick,(10%) (2%)
Achinga Kunnan,A man with his dick like a beans,(1%) (0%)
adichu poli,enjoy by fucking,(0%) (2%)
Ajoli ka Thajoli,Transexual,(1%) (2%)
ammaudi pootil poocha,cat in your mothers cunt,(1%) (2%)
amminhnha,boobs,(9%) (7%)
Andi pidiyan,Dick catcher,(10%) (5%)
anna kunna,big dick,(1%) (1%)
appikunna,dirty penis,(1%) (5%)
arraykku chuttum poorruu ullaval,lady having pussy around waist,(10%) (1%)
avaraathi,a man who like to fuck anywhere,(1%) (1%)
avarathi mone,mothers dick fucker,(1%) (2%)
chalam nakki,puss licker,(1%) (1%)
Chandi,Ass,(10%) (1%)
Chokka lingam,Sabeel,(1%) (2%)
coondi,bum,(1%) (0%)
Da patti,you dog / you bitch,(10%) (0%)
eli kunna,small dick,(7%) (29%)
Ettukali Patti Pooran,Spider Pussy Bitch,(10%) (0%)
inchi mola,young hard boobs,(10%) (0%)
johninte andi,small shrivelled black balls,(1%) (3%)
kaatu poori,women with forest pussy,(10%) (1%)
kallel oouuki,stone fucker,(7%) (26%)
kandara oli,whore,(1%) (1%)
kandi,shit,(10%) (2%)
kandi theeni,a person who eats shit,(10%) (0%)
Kandu,Girls pussy,(9%) (14%)
Kanni,Virgin,(9%) (13%)
Kanni mola,First breast,(0%) (0%)
kara vedi,local area prostitute,(9%) (9%)
karim kunna,black dick,(10%) (3%)
karim pooran,black pussy,(9%) (13%)
katta thayoli,motherfucking asshple,(9%) (15%)
kazhappu perutha mairan,hairy dick in a wild mood,(5%) (47%)
Keepu,Concubine,(10%) (4%)
Kettal,Fucking,(8%) (17%)
kodam nakiii,ass sucker,(10%) (2%)
Kolekkeri,Whore,(1%) (2%)
Koothara,"Cheap, low-class, clture-less",(10%) (1%)
Koothi,anus,(1%) (0%)
Koothichi,Bitch,(1%) (0%)
kotham,Ass,(1%) (0%)
kotham kalakki,fucking hardly through anus,(10%) (3%)
kotham nakku,lick my ass,(1%) (0%)
Koyimani,Penis,(1%) (2%)
kuch,fart,(6%) (44%)
kulamavuka,damaged and widened by over fucking,(9%) (6%)
kundan,gay,(1%) (0%)
kundaroli poori mone,gay asshole,(0%) (100%)
