Phrase,Meaning,Is This Accurate?
maari tatoori ne chalay,Ride my dick,(1%) (1%)
Akbaruddin Owaisi,Biggest cunt,(1%) (2%)
Alloo Bhosri Chaat,Lick my potato pussy,(1%) (3%)
Anuj,Biggest choot,(1%) (7%)
Babhuchak,idiot,(10%) (0%)
bai no bhosdo,wifes vagina,(9%) (6%)
bein chod,sister fuck,(1%) (0%)
Benchod,sister fucker,(0%) (0%)
Bhadvo,pimp,(1%) (0%)
bhenchod,sister fucker,(10%) (5%)
Bhoot,Ghost,(10%) (0%)
Bhopa,Idiot,(0%) (0%)
Bhos marina,Follower of a pussy,(1%) (1%)
Bhosad Pappu,pussy faggot,(1%) (1%)
bhosdo,"piki, pussy",(10%) (2%)
bhosrini,bitch face,(1%) (0%)
bobla,boobs,(10%) (5%)
Bobla Vagarni Baydi,Wife without Breasts,(10%) (1%)
Bosrichord,Pussy Fuck/Fucker,(1%) (1%)
bosrina,bitch,(10%) (5%)
Buckwass,Bullshit,(1%) (0%)
Budhalal,Idiot,(0%) (0%)
chafu gaan,dirty asshole,(1%) (0%)
Chichi,Poo Poo,(1%) (0%)
Chod,Fuck,(1%) (0%)
Chod ami,I fucked your mum last night,(7%) (33%)
Chodhru,Fucker,(1%) (1%)
chodkanya,sex maniac,(1%) (0%)
Chodu,Fucker,(1%) (0%)
chupri lauri,shut up dick,(9%) (6%)
Chutiya,fucker,(1%) (0%)
Darshil,Biggest Pussy,(6%) (41%)
Dheela Lund Ni Olaad,Product of a loose penis,(10%) (1%)
Eapen,dickhead,(0%) (100%)
Fattu,Afraid,(10%) (1%)
gaan tari,your arse,(1%) (1%)
Gaand Ghapli,work getting complicated by someone,(1%) (0%)
Gaand Ma Ghal,Stick It In Your Ass,(1%) (1%)
"gaandina, gandina",born from ass,(9%) (6%)
Gand nu kaanu,Ass Hole,(0%) (0%)
gandi chodina,mad fucker,(10%) (5%)
gando,crazy,(9%) (5%)
Gando salo,Crazy son,(10%) (0%)
gel ghagharina,lover of skirt,(10%) (5%)
Ghel Chodyo,Crazy,(1%) (1%)
Ghelchoydi,Moron (Girl),(10%) (0%)
Halki Raand na,Son of a cheap prostitute,(1%) (1%)
Harsh Dalal,Pregnant Male Prostitute,(9%) (9%)
harshit,stuped dumb fuk,(0%) (100%)
hopa,idiot,(0%) (100%)
Huzefa,Moody asshole,(0%) (100%)
jaaro,humongously obese,(10%) (0%)
Jhadhino!,Dickhead!,(9%) (5%)
Jignesh Mevani,SC cunt,(9%) (9%)
karo loro,black cock,(10%) (3%)
kem chho,how are you,(0%) (0%)
kutari,BITCH,(0%) (0%)
Lakhota,Penis Balls,(10%) (0%)
Land,Penis,(1%) (1%)
loda,dick,(10%) (0%)
lodde mari,on my dick,(0%) (100%)
Lowroh,"balls, cock",(1%) (1%)
luli,dick,(10%) (4%)
Lund Bhagat,Follower [as in religion] of penis,(1%) (0%)
Maa ne ghat bhosdina,Son of a prostitute/whore,(10%) (0%)
maajaddha,mother fucker,(10%) (3%)
maari tatoori ooper bess,sit on my cock,(10%) (1%)
maasi chodamno,aunty fucker,(1%) (1%)
Madachod,Mother Fucker,(1%) (0%)
madachod,mother fucker,(8%) (20%)
mandi susee,small willy,(9%) (7%)
Manik,dickhead,(10%) (3%)
mara man no lado,my fucking wish,(0%) (0%)
mari bhosri chaat,lick my pussy,(9%) (6%)
meri gaan chatt,lick my ass,(10%) (4%)
Mohit,a gay dude,(1%) (2%)
Moht,a gay dude,(1%) (4%)
mota jijah,big tits,(10%) (5%)
nago choido,naked fuker,(10%) (1%)
Nakhodiya,Impotent,(10%) (1%)
Namuno,Idiot,(10%) (0%)
Narender Modi,Dick faced,(1%) (1%)
pikina,Son of a bitch,(1%) (1%)
Pikina,you male cunt,(1%) (5%)
pim pim,little fart,(10%) (3%)
poom poom,big fart,(1%) (1%)
Priyanshu,Small dick,(10%) (0%)
puchi chod,pussy fucker,(1%) (1%)
Puti,Pussy,(10%) (0%)
raand,prostitute,(1%) (0%)
rumana,umers bird,(0%) (0%)
sali,fukin bitch,(1%) (1%)
salu gut`ti,you dog,(1%) (1%)
Sandas,shit,(1%) (1%)
suwwar jewu dachu,face like a hog,(10%) (5%)
taari bai no aghano,your wife's ass,(8%) (19%)
Taari ma parasevo tya-reh e tuti kareh che!,Your mom sweats when she shits!,(8%) (17%)
Tara baap ni gaan,Your fathers ass,(10%) (0%)
Taree gaar ma lowroh,You got a dick up ass!,(1%) (1%)
Taree Ghaar Ma Doh Ladah,You have two shits up your ass!,(1%) (2%)
tari bosri kaapi karwa,i will cut your vagina,(0%) (100%)
tari dagri,your arse,(0%) (100%)
tari gaand mare karya kutra balada,pussy faggot,(10%) (3%)
tari gandayli kari koyli dagri,your smelly black rotten arse,(0%) (0%)
Tari ma na bubla sukai-gya,Your mums tits have dried out!,(0%) (0%)
tari ma ne hadi kadhto hathi chode,A running elephant fucks your mom,(10%) (1%)
tari ma ni putti,your mother's vagiana,(10%) (1%)
tari ma no poplo,your mothers dick,(10%) (3%)
Tari maa na babla chusu,Let me lick your mother's boobs,(0%) (0%)
Tari maa na bhosda ma maro lodo,My penis in your mom's pussy,(0%) (0%)
Tari maa na modha ma maro lodo,My penis in your mom's mouth,(9%) (9%)
Tari maa ne chodu,Will fuck you mother,(10%) (2%)
Tari maa ni taturi,yours mums dick,(1%) (2%)
tari mai ni gand,your mother's ass,(1%) (1%)
tari mani choot ma derka bole,frog barking in ur mom pussy,(10%) (1%)
Taro baap tane chadeche,your dad fucks you,(1%) (1%)
tere ma nu hinta kar,get your mums fanni hair off,(1%) (2%)
teree maah gaderi,Your mum is a donkey,(1%) (0%)
thari ma ne bozro maro loro nakhides,ill stick my penis up your mum,(10%) (3%)
Thari Ma Ni Ghaan,Your Mums Ass,(10%) (5%)
Tusat,Sheep shagger,(10%) (0%)
Tutelli nirodh no aulad,Son of a broken condom,(1%) (0%)
